name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"2026 Pick 3.05";"null";"PICK";"null";16587;"DP_2_4";"DP_2_4";1192;194;37;-6
"Jalen Nailor";"LV";"WR";27.3;3629;"8180";"15786";1188;194;74;-103
"Ted Hurst";"TB";"WR";22;13536;"13317";"17520";1187;195;75;-283
"Brian Robinson";"ATL";"RB";27.3;4174;"8154";"15716";1181;196;56;-99
"Alvin Kamara";"NO";"RB";30.9;4144;"4035";"13132";1176;197;57;-172
"Greg Dulcich";"MIA";"TE";26.3;3550;"8172";"15797";1168;198;28;140
"2026 Pick 3.06";"null";"PICK";"null";16588;"DP_2_5";"DP_2_5";1160;199;38;-5
"Jerry Jeudy";"CLE";"WR";27.2;2427;"6783";"14833";1157;199;76;-118
"2026 3rd";"null";"PICK";"null";9664;"FP_2026_3";"FP_2026_3";1145;200;39;-5
"Kaleb Johnson";"PIT";"RB";22.9;12598;"12504";"17048";1132;200;58;-54
"Malik Washington";"MIA";"WR";25.5;11770;"11610";"16684";1131;201;77;-10
"2026 Pick 3.07";"null";"PICK";"null";16589;"DP_2_6";"DP_2_6";1130;202;40;-4
"Skyler Bell";"BUF";"WR";24;13559;"13402";"17508";1129;202;78;112
"Keon Coleman";"BUF";"WR";23.1;11716;"11637";"16617";1127;203;79;-111
"David Njoku";"LAC";"TE";30;6513;"4033";"13192";1122;204;29;-135
"Kaytron Allen";"WAS";"RB";23.5;13556;"13405";"17478";1119;205;59;-82
"Isaac TeSlaa";"DET";"WR";24.4;12679;"12535";"17157";1114;206;80;-108
"Troy Franklin";"DEN";"WR";23.4;11738;"11627";"16619";1114;207;81;-7
"Kirk Cousins";"LV";"QB";37.9;536;"1166";"10700";1110;208;39;-63
"Jack Bech";"LV";"WR";23.5;12626;"12483";"17078";1109;209;82;-53
"Tre Tucker";"LV";"WR";25.3;9873;"10213";"16287";1106;210;83;73
"2026 Pick 3.08";"null";"PICK";"null";16590;"DP_2_7";"DP_2_7";1101;211;41;-4
"Tyjae Spears";"TEN";"RB";25;9817;"9508";"16165";1100;211;60;-130
"Tyreek Hill";"null";"WR";32.3;7958;"3321";"12801";1099;212;84;43
"Tory Horton";"SEA";"WR";23.6;12637;"12497";"17098";1091;213;85;-37
"Chris Brazzell";"CAR";"WR";22.8;13464;"13353";"17509";1085;214;86;-25
"Jauan Jennings";"MIN";"WR";29;2631;"7049";"14860";1082;215;87;-135
"MarShawn Lloyd";"GB";"RB";25.5;11729;"11581";"16604";1076;216;61;-126
"2026 Pick 3.09";"null";"PICK";"null";16591;"DP_2_8";"DP_2_8";1073;217;42;-4
"2027 3rd";"null";"PICK";"null";9694;"FP_2027_3";"FP_2027_3";1054;217;43;-27
"2026 Pick 3.10";"null";"PICK";"null";16592;"DP_2_9";"DP_2_9";1047;217;44;-4
"Justin Fields";"KC";"QB";27.3;7191;"7591";"15238";1046;217;40;-15
"Demond Claiborne";"MIN";"RB";22.7;13437;"13347";"17481";1045;218;62;-84
"Anthony Richardson";"IND";"QB";24.1;9951;"9229";"16152";1041;219;41;-115
"Pat Bryant";"DEN";"WR";23.6;12634;"12492";"17082";1027;220;88;52
"2026 Pick 3.11";"null";"PICK";"null";16593;"DP_2_10";"DP_2_10";1022;221;45;-3
"Mason Taylor";"NYJ";"TE";22.1;12642;"12498";"17106";1022;221;30;37
"Kaelon Black";"SF";"RB";24.7;13592;"13414";"17485";1011;222;63;-43
"Elic Ayomanor";"TEN";"WR";23.1;12623;"12499";"17073";1002;223;89;-29
"2026 Pick 3.12";"null";"PICK";"null";16594;"DP_2_11";"DP_2_11";998;224;46;-3
"Kimani Vidal";"LAC";"RB";24.8;11790;"11647";"16757";997;224;64;107
"Eli Raridon";"NE";"TE";22.4;13565;"13421";"17607";991;225;31;11
"Oscar Delp";"NO";"TE";22.9;13530;"13319";"17567";987;226;32;-44
"2026 Pick 4.01";"null";"PICK";"null";16613;"DP_3_0";"DP_3_0";975;227;47;-3
"Trey Benson";"ARI";"RB";23.9;11758;"11589";"16594";969;227;65;-88
"2029 3rd";"null";"PICK";"null";9754;"FP_2029_3";"FP_2029_3";967;228;48;-38
"Deebo Samuel";"null";"WR";30.5;2495;"5872";"14136";965;228;90;92
"2028 3rd";"null";"PICK";"null";9724;"FP_2028_3";"FP_2028_3";955;229;49;-55
"2026 Pick 4.02";"null";"PICK";"null";16614;"DP_3_1";"DP_3_1";954;229;50;-3
"Jaydon Blue";"DAL";"RB";22.5;12622;"12457";"17069";946;229;66;148
"Cade Otton";"TB";"TE";27.2;2021;"8111";"15802";946;230;33;-213
"Max Klare";"LAR";"TE";23;13527;"13278";"17547";939;231;34;-56
"Kayshon Boutte";"NE";"WR";24.2;9939;"9504";"16193";935;232;91;-229
"2026 Pick 4.03";"null";"PICK";"null";16615;"DP_3_2";"DP_3_2";933;233;51;-3
"Kyle Williams";"NE";"WR";23.6;12713;"12547";"17134";918;233;92;-89
"2026 Pick 4.04";"null";"PICK";"null";16616;"DP_3_3";"DP_3_3";913;234;52;-3
"2026 Pick 4.05";"null";"PICK";"null";16617;"DP_3_4";"DP_3_4";894;234;53;-2
"Chimere Dike";"TEN";"WR";24.5;12693;"12540";"17171";893;234;93;14
"Ja'Kobi Lane";"BAL";"WR";22.2;13523;"13293";"17517";891;235;94;-113
"Dontayvion Wicks";"PHI";"WR";25;9909;"9486";"16195";890;236;95;-43
"Michael Mayer";"LV";"TE";25;9931;"9482";"16212";882;237;35;147
"Drew Allar";"PIT";"QB";22.3;13538;"13289";"17468";880;238;42;-136
"2026 Pick 4.06";"null";"PICK";"null";16618;"DP_3_5";"DP_3_5";876;239;54;-2
"Cade Klubnik";"NYJ";"QB";22.7;13499;"13303";"17467";868;239;43;57
"2026 4th";"null";"PICK";"null";9665;"FP_2026_4";"FP_2026_4";867;240;55;-2
"2026 Pick 4.07";"null";"PICK";"null";16619;"DP_3_6";"DP_3_6";858;240;56;-2
"2026 Pick 4.08";"null";"PICK";"null";16620;"DP_3_7";"DP_3_7";841;240;57;-2
"Ollie Gordon";"MIA";"RB";22.5;12616;"12495";"17059";837;240;67;-22
"Elijah Arroyo";"SEA";"TE";23.2;12650;"12521";"17108";834;241;36;-93
"2027 4th";"null";"PICK";"null";9695;"FP_2027_4";"FP_2027_4";828;242;58;-26
"Calvin Ridley";"TEN";"WR";31.5;41;"4981";"13629";828;242;96;144
"2026 Pick 4.09";"null";"PICK";"null";16621;"DP_3_8";"DP_3_8";825;243;59;-2
"Pat Freiermuth";"PIT";"TE";27.7;2550;"7600";"15331";824;243;37;-10
"2029 4th";"null";"PICK";"null";9755;"FP_2029_4";"FP_2029_4";815;244;60;-15
"Justin Joly";"DEN";"TE";22;13552;"13400";"17548";815;244;38;-57
"2026 Pick 4.10";"null";"PICK";"null";16622;"DP_3_9";"DP_3_9";810;245;61;-1
"2028 4th";"null";"PICK";"null";9725;"FP_2028_4";"FP_2028_4";801;245;62;-23
"2026 Pick 4.11";"null";"PICK";"null";16623;"DP_3_10";"DP_3_10";795;245;63;-1
"2026 Pick 4.12";"null";"PICK";"null";16624;"DP_3_11";"DP_3_11";780;245;64;-2
"Ray Davis";"BUF";"RB";26.6;11699;"11575";"16603";775;245;68;107
"Ryan Flournoy";"DAL";"WR";26.7;11873;"11783";"16778";772;246;97;270
"Jaylen Wright";"MIA";"RB";23.2;11781;"11643";"16610";765;247;69;-90
"Jake Tonges";"SF";"TE";27;3676;"8698";"16036";757;248;39;-164
"Theo Johnson";"NYG";"TE";25.3;11749;"11597";"16649";753;249;40;117
"Jordan James";"SF";"RB";22.3;12657;"12467";"17055";749;250;70;-128
"Sean Tucker";"TB";"RB";24.7;9915;"9506";"16166";743;251;71;4
"Zavion Thomas";"CHI";"WR";22.4;13612;"13411";"17521";737;252;98;25
"DJ Giddens";"IND";"RB";22.8;12656;"12471";"17060";724;253;72;-7
"Caleb Douglas";"MIA";"WR";22.8;13451;"13296";"17599";723;254;99;57
"Adam Randall";"BAL";"RB";22;13417;"13302";"17652";723;255;73;-124
"Emanuel Wilson";"SEA";"RB";27.2;11422;"11435";"16432";714;256;74;-75
"Jalen Milroe";"SEA";"QB";23.5;12665;"12510";"17033";677;257;44;-163
"Isaiah Bond";"CLE";"WR";22.3;12655;"12503";"17076";661;258;100;177
"Bryce Lance";"NO";"WR";23.9;13604;"13420";"17519";651;259;101;-1
"Colby Parkinson";"LAR";"TE";27.5;6289;"6865";"14871";641;260;41;-10
"LeQuint Allen";"JAX";"RB";21.9;12714;"12544";"17061";612;261;75;-42
"Evan Engram";"DEN";"TE";31.8;3648;"4066";"13189";606;262;42;-144
"Cooper Kupp";"SEA";"WR";33;5586;"4039";"13164";593;263;102;-23
"James Conner";"ARI";"RB";31.2;7447;"4137";"13146";555;264;76;-267
"Eli Heidenreich";"PIT";"RB";23;13581;"13423";"17685";549;265;77;-89
"Ja'Tavion Sanders";"CAR";"TE";23.3;11714;"11600";"16643";538;266;43;58
"Darnell Mooney";"NYG";"WR";28.7;3901;"7090";"14974";536;267;103;-252
"Cyrus Allen";"KC";"WR";23.4;13605;"13413";"17518";534;268;104;-24
"Will Howard";"PIT";"QB";24.8;12619;"12511";"17036";530;269;45;46
"Taylen Green";"CLE";"QB";23.7;13535;"13306";"17657";518;270;46;23
"Marvin Mims";"DEN";"WR";24.3;9955;"9494";"16189";513;271;105;-20
"Cole Kmet";"CHI";"TE";27.3;4857;"6826";"14867";494;272;44;241
"Kevin Coleman";"MIA";"WR";22.8;13539;"13338";"17528";485;273;106;41
"Matt Hibner";"BAL";"TE";24.3;13542;"13324";"UNK";464;274;45;-128
"Isaiah Davis";"NYJ";"RB";24.4;11767;"11571";"16752";457;275;78;122
"Seth McGowan";"IND";"RB";24.7;13582;"13424";"17475";455;276;79;-31
"Xavier Legette";"CAR";"WR";25.4;11718;"11626";"16639";453;277;107;-139
"Dont'e Thornton";"LV";"WR";23.6;12706;"12541";"17087";447;278;108;2
"Jalen Royals";"KC";"WR";23.4;12671;"12505";"17086";443;279;109;-106
"Tez Johnson";"TB";"WR";24.1;12667;"12485";"17079";438;280;110;-66
"Rashod Bateman";"BAL";"WR";26.6;7410;"7571";"15293";426;281;111;-22
"Devin Neal";"NO";"RB";22.9;12618;"12476";"17046";421;282;80;-35
"Trevor Etienne";"CAR";"RB";22;12703;"12531";"17056";416;283;81;23
"Marquise Brown";"PHI";"WR";29.1;3950;"5848";"14105";412;284;112;97
"Mike Gesicki";"CIN";"TE";30.7;7291;"4993";"13672";402;285;46;-14
"Joe Mixon";"null";"RB";29.9;4578;"4018";"13131";395;286;82;64
"Tanner Koziol";"JAX";"TE";22.4;13614;"13408";"17644";394;287;47;84
"Malik Benson";"LV";"WR";23.7;13533;"13329";"17706";385;288;113;99
"Garrett Nussmeier";"KC";"QB";24.4;13558;"13404";"17465";379;289;47;1
"Brenen Thompson";"LAC";"WR";22.9;13431;"13380";"17529";369;290;114;-61
"Riley Leonard";"IND";"QB";23.8;12613;"12470";"17035";367;291;48;-63
"Marcus Mariota";"WAS";"QB";32.7;7818;"2307";"12141";356;292;49;2
"Tahj Brooks";"CIN";"RB";24.1;12688;"12543";"17058";352;293;83;-38
"Odell Beckham";"NYG";"WR";33.7;2245;"2078";"11679";348;294;115;-145
"Najee Harris";"null";"RB";28.3;7252;"7528";"15254";348;295;84;-102
"Chris Brooks";"GB";"RB";26.5;11653;"11370";"16387";347;296;85;12
"Joe Flacco";"CIN";"QB";41.5;2323;"19";"9064";343;297;50;41
"Quinn Ewers";"MIA";"QB";23.3;12648;"12500";"17034";331;298;51;53
"Michael Trigg";"DAL";"TE";24;13554;"13401";"17546";317;299;48;50
"George Holani";"SEA";"RB";26.5;12166;"12048";"16608";316;300;86;240
"Jameis Winston";"NYG";"QB";32.5;794;"2306";"12140";313;301;52;-119
"Ben Sinnott";"WAS";"TE";24;11746;"11596";"16644";308;302;49;56
"Malik Davis";"DAL";"RB";27.6;1310;"8800";"15738";303;303;87;215
"Christian Kirk";"SF";"WR";29.6;8090;"4950";"13633";299;304;116;-224
"Tyquan Thornton";"KC";"WR";25.9;5858;"8188";"15787";298;305;117;63
"Darnell Washington";"PIT";"TE";24.9;9923;"9479";"16216";295;306;50;32
"Brashard Smith";"KC";"RB";23.2;12591;"12455";"17049";294;307;88;24
"Joe Milton";"DAL";"QB";26.3;11772;"11557";"16585";289;308;53;-126
"Jack Endries";"CIN";"TE";22.3;13428;"13282";"17545";286;309;51;-18
"Deion Burks";"IND";"WR";23.5;13547;"13333";"17510";281;310;118;-22
"Keenan Allen";"null";"WR";34.2;1334;"1479";"11222";281;311;119;-3
"DeMario Douglas";"NE";"WR";25.6;9840;"9501";"16342";277;312;120;-49
"Marlin Klein";"HOU";"TE";23.8;13462;"13307";"17593";271;313;52;-16
"Colbie Young";"CIN";"WR";23.9;13771;"13477";"17542";270;314;121;103
"Will Kacmarek";"MIA";"TE";23.4;13620;"13434";"17605";266;315;53;-22
"Jarquez Hunter";"LAR";"RB";23.5;11707;"11569";"17064";264;316;89;-6
"Kendre Miller";"NO";"RB";24.1;9960;"9757";"16171";250;317;90;16
"Jaylin Lane";"WAS";"WR";24.2;12946;"12641";"17184";235;318;122;-29
"Cedric Tillman";"CLE";"WR";26.2;9904;"10444";"16191";235;319;123;-18
"Cole Payton";"PHI";"QB";23.7;13457;"13335";"17654";228;320;54;144
"Justice Hill";"BAL";"RB";28.6;5156;"5995";"14086";223;321;91;-6
"J'Mari Taylor";"JAX";"RB";24.3;13511;"13348";"17487";222;322;92;32
"Davis Mills";"HOU";"QB";27.7;1246;"7585";"15252";220;323;55;108
"Jalen Tolbert";"MIA";"WR";27.3;2144;"8117";"15788";220;324;124;-192
"Jeff Caldwell";"KC";"WR";23.3;13476;"13392";"17523";216;325;125;22
"Spencer Rattler";"NO";"QB";25.8;11719;"11562";"16586";212;326;56;31
"Noah Gray";"KC";"TE";27.2;865;"7828";"15337";207;327;54;30
"Devaughn Vele";"NO";"WR";28.6;11908;"11834";"16788";205;328;126;9
"Savion Williams";"GB";"WR";24.6;12602;"12482";"17096";202;329;127;129
"Sam Roush";"CHI";"TE";22.8;13540;"13322";"17549";201;330;55;31
"Jahan Dotson";"ATL";"WR";26.3;7169;"8119";"15755";201;331;128;-35
"Tyson Bagent";"CHI";"QB";26.1;11408;"11256";"16384";195;332;57;104
"Luke McCaffrey";"WAS";"WR";25.2;11788;"11650";"16635";194;333;129;70
"John Michael Gyllenborg";"KC";"TE";23.9;13440;"13342";"17710";192;334;56;64
"Andrei Iosivas";"CIN";"WR";26.7;9959;"10226";"16207";192;335;130;-3
"Tyler Huntley";"BAL";"QB";28.4;3004;"7083";"14789";174;336;58;44
"Trey Lance";"LAC";"QB";26.1;4875;"7610";"15240";167;337;59;27
"CJ Daniels";"LAR";"WR";24.5;13426;"13270";"17504";150;338;131;-60
"Darius Slayton";"NYG";"WR";29.5;6028;"6149";"14122";150;339;132;20
"Roman Hemby";"LV";"RB";23.9;13590;"13416";"17483";147;340;93;105
"Phil Mafah";"DAL";"RB";23.7;13156;"12738";"17063";147;341;94;88
"Darren Waller";"null";"TE";33.8;4485;"2505";"12263";144;342;57;144
"Emari Demercado";"KC";"RB";27.4;11170;"11199";"16385";136;343;95;80
"Gardner Minshew";"ARI";"QB";30.1;7783;"6011";"14067";136;344;60;-116
"Dawson Knox";"BUF";"TE";29.6;1787;"5906";"14143";129;345;58;-27
"Isaac Guerendo";"SF";"RB";26;11789;"11651";"16688";124;346;96;-78
"Roman Wilson";"PIT";"WR";25;11750;"11630";"16629";122;347;133;31
"Nick Chubb";"null";"RB";30.5;4188;"4988";"13610";122;348;97;-38
"Tyrod Taylor";"GB";"QB";36.9;4418;"827";"10413";119;349;61;8
"Audric Estime";"NO";"RB";22.8;11776;"11579";"16595";115;350;98;-22
"Erick All";"CIN";"TE";25.8;11761;"11592";"16645";113;351;59;113
"Kenny Pickett";"CAR";"QB";28.1;5730;"8160";"15692";111;352;62;111
"Tutu Atwell";"MIA";"WR";26.7;8432;"7562";"15301";110;353;134;110
"Dillon Gabriel";"CLE";"QB";25.5;12646;"12486";"17037";108;354;63;-18
"John Metchie";"CAR";"WR";26;3812;"8147";"15759";105;355;135;-64
"Treylon Burks";"WAS";"WR";26.3;2373;"8135";"15752";102;356;136;102
"Noah Fant";"NO";"TE";28.6;2677;"5857";"14137";101;357;60;-1
"Jahdae Walker";"CHI";"WR";24;12983;"13079";"17353";90;358;137;64
"Xavier Hutchinson";"HOU";"WR";26.1;9854;"10218";"16201";90;359;138;55
"Ty Johnson";"BUF";"RB";28.8;607;"6039";"14095";89;360;99;61
"Will Shipley";"PHI";"RB";23.8;11743;"11577";"16601";89;361;100;-85
"Devin Singletary";"NYG";"RB";28.8;8347;"6130";"14080";88;362;101;-53
"Olamide Zaccheaus";"ATL";"WR";28.9;205;"6271";"14592";86;363;139;20
"Calvin Austin";"NYG";"WR";27.3;4996;"8125";"15777";85;364;140;-140
"Will Levis";"TEN";"QB";27;9901;"9999";"16149";80;365;64;-95
"Samaje Perine";"CIN";"RB";30.8;3463;"4147";"13133";75;366;102;32
"Michael Carter";"TEN";"RB";27.2;4611;"7607";"15258";73;367;103;-45
"Mack Hollins";"NE";"WR";32.8;3596;"4177";"13289";62;368;141;47
"Zach Ertz";"null";"TE";35.6;324;"1339";"11247";61;369;61;11
"KaVontae Turpin";"DAL";"WR";29.9;4302;"8917";"15981";60;370;142;-99
"Kendrick Bourne";"ARI";"WR";30.9;1449;"4454";"13418";59;371;143;59
"Damien Martinez";"GB";"RB";22.4;12633;"12462";"17054";57;372;104;-101
"Zonovan Knight";"ARI";"RB";25.2;3732;"8122";"15727";55;373;105;55
"Ja'Lynn Polk";"NO";"WR";24.2;11700;"11619";"16631";55;374;144;-95
"Konata Mumpfield";"LAR";"WR";23.7;12826;"12718";"17254";54;375;145;9
"Roschon Johnson";"CHI";"RB";25.4;9926;"10235";"16175";54;376;106;6
"Jerome Ford";"WAS";"RB";26.8;8319;"8143";"15713";54;377;107;-61
"Jarrett Stidham";"DEN";"QB";29.9;7992;"6136";"14063";53;378;65;53
"Jawhar Jordan";"HOU";"RB";26.9;11705;"11588";"16773";51;379;108;51
"Joe Royer";"CLE";"TE";24.3;13625;"13435";"17566";48;380;62;-25
"Tommy Tremble";"CAR";"TE";26.1;7388;"7694";"15332";47;381;63;29
"Jam Miller";"NE";"RB";"null";13555;"13403";"17486";46;382;109;-37
"KeAndre Lambert-Smith";"LAC";"WR";24.7;13019;"12670";"17205";45;383;146;-130
"Jordan Whittington";"LAR";"WR";25.7;11721;"11623";"16633";45;384;147;45
"Kareem Hunt";"null";"RB";30.9;6621;"4098";"13138";43;385;110;-9
"Jonnu Smith";"null";"TE";30.9;4185;"4144";"13193";41;386;64;-29
"Luke Musgrave";"GB";"TE";25.8;9856;"9481";"16215";33;387;65;-118
"Tai Felton";"MIN";"WR";23.3;12604;"12496";"17097";30;388;148;-1
"Joshua Palmer";"BUF";"WR";26.8;2308;"7670";"15319";30;389;149;30
"Malachi Corley";"CLE";"WR";24.3;11744;"11617";"16636";28;390;150;-19
"Xavier Restrepo";"TEN";"WR";24.2;12649;"12520";"17077";26;391;151;26
"Jalin Hyatt";"NYG";"WR";24.8;9851;"9497";"16183";25;392;152;25
"Efton Chism";"NE";"WR";24.7;12676;"12542";"17269";22;393;153;-51
"Austin Ekeler";"null";"RB";31.1;1332;"4663";"13404";21;394;111;21
"Rasheen Ali";"BAL";"RB";25.4;11727;"11570";"16746";20;395;112;20
"Kalel Mullings";"TEN";"RB";23.7;12658;"12516";"17050";18;396;113;-5
"Adam Trautman";"DEN";"TE";29.4;1119;"6869";"14870";14;397;66;14
"Darius Cooper";"PHI";"WR";24.6;13020;"13150";"17333";12;398;154;12
"Theo Wease";"MIA";"WR";25;12828;"12860";"17088";2;399;155;-3